step,processed,mean_exact,mean_est,std_est
1,10000,9712.15,9704.96,156.023
2,20000,19332.4,19337.8,268.934
3,30000,28931.2,28905.6,420.866
4,40000,38516.1,38473.8,493.346
5,50000,48076.4,48137.2,639.025
6,60000,57621.6,57592.8,1032.69
7,70000,67144.6,67038,1080.52
8,80000,76651.9,76551,1263.78
9,90000,86140.9,85910.6,1363.87
10,100000,95614.9,95141.6,1321.49
11,110000,105082,104518,1268.12
12,120000,114529,114135,1672.51
13,130000,123972,123523,1756.29
14,140000,133415,133211,1865.88
15,150000,142834,142488,1781.57
16,160000,152256,151762,1934.65
17,170000,161660,161062,2215.03
18,180000,171057,170706,2586.81
19,190000,180446,180189,3007.23
20,200000,189839,189532,3162.01
